Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1655;24162;"Computing and Informatics";journal;"25858807, 13359150";0,196;Q4;31;73;171;2450;131;171;0,82;33,56;30,05;0;17;Slovakia;Eastern Europe;"Slovak Academy of Sciences";"2000-2023";"Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
1656;11700154323;"Image Analysis and Stereology";journal;"15803139, 18545165";0,196;Q4;30;16;57;500;47;56;1,13;31,25;41,51;0;1;Slovenia;Eastern Europe;"International Society for Stereology";"2000-2023";"Acoustics and Ultrasonics (Q4); Biotechnology (Q4); Computer Vision and Pattern Recognition (Q4); Instrumentation (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Radiology, Nuclear Medicine and Imaging (Q4); Signal Processing (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Materials Science; Mathematics; Medicine; Physics and Astronomy"
1657;21101023180;"International Journal of Advanced Technology and Engineering Exploration";journal;"23945443, 23947454";0,196;Q4;10;116;180;5771;184;180;1,11;49,75;26,32;0;44;India;Asiatic Region;"Accent Social and Welfare Society";"2019-2023";"Artificial Intelligence (Q4); Civil and Structural Engineering (Q4); Computational Theory and Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Networks and Communications (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4)";"Computer Science; Engineering"
1658;26141;"Parallel Processing Letters";journal;"1793642X, 01296264";0,196;Q4;33;17;62;430;33;61;0,51;25,29;33,33;0;4;Singapore;Asiatic Region;"World Scientific";"1994-2023";"Hardware and Architecture (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1659;21101039156;"Encontros Bibli";journal;"15182924";0,195;Q4;8;35;149;1192;42;144;0,28;34,06;61,22;0;11;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2023";"Library and Information Sciences (Q3); Information Systems (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1660;21100838789;"International Journal of Electrical and Electronic Engineering and Telecommunications";journal;"23192518";0,195;Q4;21;51;176;1660;306;176;1,68;32,55;19,35;0;13;United States;Northern America;"Engineering and Technology Publishing";"2017-2023";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Instrumentation (Q4)";"Computer Science; Engineering; Physics and Astronomy"
1661;21100900144;"Journal of Graphic Engineering and Design";journal;"2217379X, 22179860";0,195;Q4;7;15;38;442;38;38;0,73;29,47;34,15;0;3;Serbia;Eastern Europe;"University of Novi Sad - Faculty of Technical Sciences, Department of Graphic Engineering and Design";"2018-2023";"Computational Mechanics (Q3); Computer Graphics and Computer-Aided Design (Q4)";"Computer Science; Engineering"
1662;21101042317;"Journal of Systems Science and Information";journal;"14789906, 25126660";0,195;Q4;8;36;114;1395;90;112;0,76;38,75;39,81;0;15;China;Asiatic Region;"Science China Press";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q3); Applied Mathematics (Q4); Computer Networks and Communications (Q4); Control and Systems Engineering (Q4); Decision Sciences (miscellaneous) (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics"
1663;19700186738;"Ad-Hoc and Sensor Wireless Networks";journal;"15519899, 15520633";0,194;Q4;25;52;95;1875;174;95;1,63;36,06;36,36;0;15;United States;Northern America;"Old City Publishing";"2005-2023";"Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4); Instrumentation (Q4)";"Computer Science; Engineering; Physics and Astronomy"
1664;17700155007;"Communications in Computer and Information Science";book series;"18650937, 18650929";0,194;Q4;69;6399;18399;143624;10154;17197;0,56;22,44;32,78;4;1376;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2007-2023";"Computer Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1665;21101033322;"International Journal on Informatics Visualization";journal;"25499904";0,194;Q4;15;125;173;3867;183;171;1,09;30,94;39,71;0;32;Indonesia;Asiatic Region;"Politeknik Negeri Padang";"2017-2023";"Computer Science (miscellaneous) (Q4); Information Systems and Management (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences"
1666;14953;"Proceedings of the IEEE International Conference on VLSI Design";conference and proceedings;"10639667";0,194;-;44;0;62;0;55;57;0,89;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"1991-1992, 1994-2001, 2003-2007, 2010-2016, 2018, 2021, 2023";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
1667;21100850743;"Radioelektronika, Nanosistemy, Informacionnye Tehnologii";journal;"22183000, 24141267";0,194;Q4;8;34;143;642;43;143;0,29;18,88;27,78;0;0;Russian Federation;Eastern Europe;"Russian Academy of Natural Science";"2017-2023";"Computer Networks and Communications (Q4); Electronic, Optical and Magnetic Materials (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Materials Science (miscellaneous) (Q4)";"Computer Science; Materials Science"
1668;27686;"Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University";journal;"10012400";0,194;Q4;18;143;424;2995;328;424;0,82;20,94;41,61;0;10;China;Asiatic Region;"Science China Press";"2001-2023";"Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1669;21100826383;"Indonesian Journal of Electrical Engineering and Informatics";journal;"20893272";0,193;Q4;14;83;238;2644;188;238;0,66;31,86;31,73;0;29;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2017-2023";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4); Information Systems (Q4)";"Computer Science; Engineering; Mathematics"
1670;26693;"International Journal for Engineering Modelling";journal;"13301365, 18498671";0,193;Q4;13;11;33;468;27;33;0,35;42,55;16,67;0;1;Croatia;Eastern Europe;"University of Split";"1991-1992, 1994-2023";"Computer Science Applications (Q4); Mechanical Engineering (Q4); Mechanics of Materials (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
1671;14100154713;"International Journal of Grid and Utility Computing";journal;"1741847X, 17418488";0,193;Q4;23;59;192;1841;172;186;0,87;31,20;32,31;0;15;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005, 2009, 2011-2023";"Applied Mathematics (Q4); Computer Science Applications (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Mathematics"
1672;13608;"Xitong Fangzhen Xuebao / Journal of System Simulation";journal;"1004731X";0,193;Q4;32;234;887;4915;588;887;0,71;21,00;38,66;0;51;China;Asiatic Region;"Acta Simulata Systematica Sinica";"1998-1999, 2001-2023";"Aerospace Engineering (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Engineering; Mathematics"
1673;21100820054;"International Journal of Computing";journal;"17276209, 23125381";0,192;Q4;16;51;168;1564;141;167;0,84;30,67;34,51;0;8;Ukraine;Eastern Europe;"Research Institute of Intelligent Computer Systems";"2016-2023";"Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Software (Q4)";"Computer Science"
1674;21100305269;"Mathematics and Visualization";book series;"2197666X, 16123786";0,192;Q4;26;21;127;657;68;84;0,48;31,29;0,00;0;2;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2006, 2008-2009, 2011-2022";"Applied Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Geometry and Topology (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1675;20300195016;"ECTI Transactions on Electrical Engineering, Electronics, and Communications";journal;"16859545";0,191;Q4;13;42;75;1175;80;74;0,89;27,98;17,17;0;13;Thailand;Asiatic Region;"Electrical Engineering/Electronics, Computer, Communications and Information Technology Association (ECTI)";"2011-2023";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1676;12753;"International Game Theory Review";journal;"02191989, 17936675";0,191;Q4;26;24;84;646;27;82;0,35;26,92;23,26;0;4;Singapore;Asiatic Region;"World Scientific";"2003-2023";"Business and International Management (Q4); Computer Science (miscellaneous) (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1677;51658;"NTT Technical Review";journal;"13483447";0,191;Q4;18;160;371;702;77;368;0,25;4,39;11,68;0;22;Japan;Asiatic Region;"Nippon Telegraph and Telephone Corp.";"2003-2023";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1678;21100830763;"Journal of Information Science Theory and Practice";journal;"22879099, 22874577";0,190;Q4;8;39;68;1575;62;68;0,67;40,38;37,27;0;9;South Korea;Asiatic Region;"Korea Institute of Science and Technology Information";"2017-2023";"Library and Information Sciences (Q3); Information Systems (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Social Sciences"
1679;28477;"International Journal of Computational Geometry and Applications";journal;"17936357, 02181959";0,189;Q4;40;7;37;276;16;36;0,29;39,43;40,00;0;1;Singapore;Asiatic Region;"World Scientific";"1996-2023";"Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Geometry and Topology (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1680;11900154401;"International Journal of Technology and Human Interaction";journal;"15483916, 15483908";0,189;Q4;23;63;80;3987;70;80;0,88;63,29;39,02;0;14;United States;Northern America;"IGI Publishing";"2005-2023";"Human-Computer Interaction (Q4); Information Systems (Q4)";"Computer Science"
1681;5900152897;"Journal of Design Research";journal;"17483050, 15691551";0,189;Q4;23;16;45;800;23;45;0,19;50,00;36,36;0;3;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2007, 2010-2023";"Computer Graphics and Computer-Aided Design (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering"
1682;19700188314;"Pertanika Journal of Science and Technology";journal;"01287680";0,189;Q4;24;158;455;6056;411;455;0,84;38,33;39,92;0;64;Malaysia;Asiatic Region;"Universiti Putra Malaysia";"2010-2023";"Agricultural and Biological Sciences (miscellaneous) (Q3); Chemical Engineering (miscellaneous) (Q4); Computer Science (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Chemical Engineering; Computer Science; Environmental Science"
1683;24144;"Biometric Technology Today";trade journal;"09694765";0,188;Q4;14;0;71;0;64;71;0,84;0,00;0,00;0;0;Netherlands;Western Europe;"MA Healthcare Ltd";"2000-2021";"Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1684;21100896465;"International Journal of Customer Relationship Marketing and Management";journal;"19479247, 19479255";0,187;Q4;6;12;58;1148;44;58;0,74;95,67;42,31;0;2;United States;Northern America;"IGI Global Publishing";"2018-2023";"Business and International Management (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4); Marketing (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1685;21100878578;"International Journal of Cyber Warfare and Terrorism";journal;"19473435, 19473443";0,187;Q4;7;22;50;857;43;50;0,81;38,95;32,65;0;11;United States;Northern America;"IGI Global Publishing";"2018-2023";"Safety Research (Q3); Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems and Management (Q4); Safety, Risk, Reliability and Quality (Q4); Software (Q4)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
1686;21100842538;"Jusletter IT";journal;"1664848X";0,187;Q4;5;73;316;1717;19;308;0,07;23,52;25,19;0;9;Switzerland;Western Europe;"Weblaw AG";"2017-2023";"Law (Q3); Computer Science (miscellaneous) (Q4)";"Computer Science; Social Sciences"
1687;21100817136;"International Journal of Sensors, Wireless Communications and Control";journal;"22103287, 22103279";0,186;Q4;15;58;237;2520;181;226;0,81;43,45;36,15;0;24;Netherlands;Western Europe;"Bentham Science Publishers B.V.";"2016-2023";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering; Mathematics"
1688;21100839128;"Journal of Information and Communication Convergence Engineering";journal;"22348883, 22348255";0,186;Q4;10;42;116;893;79;115;0,68;21,26;29,59;0;11;South Korea;Asiatic Region;"The Korean Institute of Information and Commucation Engineering";"2008, 2017-2023";"Media Technology (Q3); Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Information Systems (Q4)";"Computer Science; Engineering"
1689;19700202714;"Journal of Information and Organizational Sciences";journal;"18463312, 18469418";0,186;Q4;16;27;66;1061;55;59;0,73;39,30;35,09;0;4;Croatia;Eastern Europe;"University of Zagreb, Faculty of Organization and Informatics";"2006-2023";"Library and Information Sciences (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
1690;21101070987;"Advances in Science and Technology Research Journal";journal;"22998624";0,185;Q4;14;186;304;5353;350;304;1,07;28,78;22,40;0;49;Poland;Eastern Europe;"Politechnika Lubelska";"2019-2023";"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4)";"Computer Science; Engineering; Environmental Science; Materials Science"
1691;21100831437;"International Journal of Mechatronics and Applied Mechanics";journal;"25594397, 25596497";0,185;-;8;69;268;1154;117;266;0,46;16,72;26,40;0;14;Romania;Eastern Europe;"Cefin Publishing House";"2017-2023";"Materials Science (miscellaneous) (Q4); Mechanics of Materials (Q4)";"Engineering; Materials Science"
1692;15657;"International Journal of Web Engineering and Technology";journal;"17419212, 14761289";0,185;Q4;17;12;58;634;29;48;0,44;52,83;29,17;0;1;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2003-2023";"Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems (Q4)";"Computer Science"
1693;21100795207;"Journal of Telecommunications and the Digital Economy";journal;"22031693";0,185;Q4;14;42;96;1494;81;95;0,97;35,57;32,61;0;7;Australia;Pacific Region;"Telecommunications Association Inc.";"2015-2023";"Communication (Q3); Media Technology (Q3); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
1694;87936;"Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence";journal;"10036059";0,185;Q4;26;92;340;3305;319;340;1,00;35,92;36,86;0;2;China;Asiatic Region;"Science China Press";"2001-2023";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
1695;21100979315;"Recent Advances in Computer Science and Communications";journal;"26662558, 26662566";0,185;Q4;18;123;477;4746;417;448;0,85;38,59;30,86;0;22;Netherlands;Western Europe;"Bentham Science Publishers B.V.";"2020-2023";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1696;21101051699;"System Research and Information Technologies";journal;"16816048, 23088893";0,185;Q4;4;46;73;1024;20;73;0,27;22,26;31,40;0;11;Ukraine;Eastern Europe;"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";"2019-2023";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1697;15489;"International Journal of Nanoscience";journal;"17935350, 0219581X";0,184;Q4;30;56;247;1808;184;247;0,87;32,29;35,83;0;13;Singapore;Asiatic Region;"World Scientific";"2004-2023";"Bioengineering (Q4); Biotechnology (Q4); Computer Science Applications (Q4); Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Materials Science (miscellaneous) (Q4); Nanoscience and Nanotechnology (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Physics and Astronomy"
1698;21101044836;"Journal of Computer Science and Technology(Argentina)";journal;"16666046, 16666038";0,184;Q4;5;15;19;473;17;18;0,89;31,53;40,00;0;5;Argentina;Latin America;"Facultad de Informatica, Universidad Nacional de La Plata";"2021-2023";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
1699;21100305268;"Journal of Educational Multimedia and Hypermedia";journal;"19435916, 10558896";0,182;Q4;12;0;12;0;10;12;0,00;0,00;0,00;0;0;United States;Northern America;"Association for the Advancement of Computing in Education";"2013-2019";"Computer Science Applications (Q4); Education (Q4)";"Computer Science; Social Sciences"
1700;21100199780;"Multiagent and Grid Systems";journal;"15741702, 18759076";0,182;Q4;19;17;52;861;50;52;0,90;50,65;23,08;0;0;United States;Northern America;"IOS Press";"2005-2023";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1701;5700191221;"WIT Transactions on the Built Environment";journal;"17433509";0,182;Q4;29;121;518;2567;277;493;0,56;21,21;30,61;0;67;United Kingdom;Western Europe;"WITPress";"1996, 2001-2015, 2017-2022";"Architecture (Q2); Arts and Humanities (miscellaneous) (Q3); Automotive Engineering (Q4); Building and Construction (Q4); Civil and Structural Engineering (Q4); Computer Science Applications (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4); Transportation (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
1702;21100198457;"ACM Communications in Computer Algebra";journal;"19322232, 19322240";0,181;Q4;12;0;64;0;18;64;0,35;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"2011-2021, 2023";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Mathematics"
1703;21101038721;"Data Analysis and Knowledge Discovery";journal;"20963467";0,181;Q4;9;157;440;5330;384;440;0,95;33,95;31,51;0;22;China;Asiatic Region;"Chinese Academy of Sciences";"2019-2023";"Library and Information Sciences (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
1704;21100925733;"International Journal of Public Administration in the Digital Age";journal;"23344539, 23344520";0,181;Q4;6;0;43;0;31;43;0,56;0,00;0,00;0;0;United States;Northern America;"IGI Global Publishing";"2019-2021";"Library and Information Sciences (Q3); Computer Science Applications (Q4); Public Administration (Q4)";"Computer Science; Social Sciences"
1705;21100814501;"Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR";conference and proceedings;"21974403";0,181;-;25;168;264;1998;109;261;0,41;11,89;21,09;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008, 2010, 2012, 2014, 2016, 2018, 2021-2022";"Control and Systems Engineering; Instrumentation; Signal Processing";"Computer Science; Engineering; Physics and Astronomy"
1706;21100325719;"International Journal of Mechatronics and Automation";journal;"20451059, 20451067";0,180;Q4;16;20;44;516;32;44;0,73;25,80;20,78;0;2;Switzerland;Western Europe;"Inderscience";"2011-2012, 2014-2018, 2020-2022";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Mechanics (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4)";"Computer Science; Engineering; Mathematics"
1707;16800154719;"International Journal of Security and Networks";journal;"17478413, 17478405";0,180;Q4;27;21;72;724;44;72;0,63;34,48;28,30;0;1;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2023";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Safety, Risk, Reliability and Quality (Q4)";"Computer Science; Engineering"
1708;21101037310;"Register: Jurnal Ilmiah Teknologi Sistem Informasi";journal;"25023357, 25030477";0,180;Q4;7;13;42;530;39;42;1,21;40,77;35,14;0;5;Indonesia;Asiatic Region;"Universitas Pesantren Tinggi Darul Ulum";"2015-2023";"Artificial Intelligence (Q4); Computer Science (miscellaneous) (Q4); Decision Sciences (miscellaneous) (Q4); Information Systems (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences"
1709;21101032143;"Journal of Logistics, Informatics and Service Science";journal;"24092665";0,179;Q4;8;72;43;2027;74;43;1,75;28,15;36,54;0;25;Hong Kong;Asiatic Region;"";"2020-2023";"Computer Networks and Communications (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1710;19700201613;"Open Bioinformatics Journal";journal;"18750362";0,179;Q4;13;4;35;176;35;31;1,17;44,00;25,00;0;3;Netherlands;Western Europe;"Bentham Science Publishers B.V.";"2010-2015, 2017-2023";"Biomedical Engineering (Q4); Computer Science (miscellaneous) (Q4); Health Informatics (Q4)";"Computer Science; Engineering; Medicine"
1711;21100923463;"Statistical Theory and Related Fields";journal;"24754277, 24754269";0,179;Q4;8;34;100;786;34;98;0,34;23,12;19,44;0;1;United States;Northern America;"Routledge";"2017-2023";"Analysis (Q4); Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
1712;21101021169;"Applied Computer Science";journal;"18953735, 23536977";0,178;Q4;8;32;96;948;81;96;0,94;29,63;21,74;0;12;Poland;Eastern Europe;"Polish Association for Knowledge Promotion";"2019-2023";"Economics, Econometrics and Finance (miscellaneous) (Q3); Artificial Intelligence (Q4); Biomedical Engineering (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Information Systems (Q4); Mechanical Engineering (Q4)";"Computer Science; Economics, Econometrics and Finance; Engineering"
1713;21100454976;"Journal of Automation, Mobile Robotics and Intelligent Systems";journal;"20802145, 18978649";0,178;Q4;13;35;118;975;63;111;0,58;27,86;17,98;0;14;Poland;Eastern Europe;"Sciendo";"2015-2023";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
1714;6000152729;"Leonardo";journal;"0024094X";0,178;Q4;29;101;269;1892;105;227;0,43;18,73;42,50;0;2;United States;Northern America;"MIT Press Journals";"2002-2023";"Visual Arts and Performing Arts (Q1); Music (Q2); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4)";"Arts and Humanities; Computer Science; Engineering"
1715;19700170833;"Yingyong Kexue Xuebao/Journal of Applied Sciences";journal;"02558297";0,178;Q4;12;85;236;1854;164;236;0,69;21,81;32,08;0;9;China;Asiatic Region;"Shanghai Science and Technology Press";"1988, 2010-2023";"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics"
1716;21100981346;"Advances in Technology Innovation";journal;"25182994, 24150436";0,177;Q4;8;24;48;782;44;48;0,92;32,58;27,12;0;2;Taiwan;Asiatic Region;"Taiwan Association of Engineering and Technology Innovation";"2020-2023";"Computer Science (miscellaneous) (Q4); Energy Engineering and Power Technology (Q4); Engineering (miscellaneous) (Q4); Environmental Engineering (Q4); Management of Technology and Innovation (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Business, Management and Accounting; Computer Science; Energy; Engineering; Environmental Science"
1717;19700186844;"International Journal of Mobile Computing and Multimedia Communications";journal;"19379412, 19379404";0,177;Q4;12;15;48;419;43;48;0,61;27,93;37,84;0;2;United States;Northern America;"IGI Global Publishing";"2009-2014, 2016-2023";"Computer Networks and Communications (Q4)";"Computer Science"
1718;21100898633;"Journal of Contemporary Eastern Asia";journal;"23839449";0,177;Q4;8;8;60;340;51;60;0,76;42,50;52,94;0;3;South Korea;Asiatic Region;"World Association for Triple helix and Future strategy studies";"2018-2023";"Communication (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Computer Networks and Communications (Q4)";"Computer Science; Economics, Econometrics and Finance; Social Sciences"
1719;21101073717;"Pacific Asia Journal of the Association for Information Systems";journal;"19437536, 19437544";0,177;Q4;11;31;52;2428;110;47;2,29;78,32;33,98;0;10;United States;Northern America;"Association for Information Systems";"2019-2023";"Computer Science Applications (Q4); Human-Computer Interaction (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1720;11700154713;"Perspectivas em Ciencia da Informacao";journal;"19815344, 14139936";0,177;Q4;12;38;129;1414;36;129;0,27;37,21;66,27;0;12;Brazil;Latin America;"Escola de Ciencia da Informacao da UFMG";"2008-2023";"Museology (Q2); Communication (Q3); Library and Information Sciences (Q3); Information Systems (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1721;15135;"Information Services and Use";journal;"01675265, 18758789";0,176;Q4;24;44;109;1117;64;103;0,51;25,39;50,00;0;9;Netherlands;Western Europe;"IOS Press BV";"1981-2023";"Library and Information Sciences (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
1722;21100898016;"Digital Humanities Quarterly";journal;"19384122";0,175;Q4;9;71;159;2544;98;152;0,59;35,83;52,67;0;14;United States;Northern America;"Alliance of Digital Humanities Organisations";"2018-2023";"Arts and Humanities (miscellaneous) (Q3); Communication (Q3); Library and Information Sciences (Q3); Computer Networks and Communications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1723;18700156724;"International Journal of Computing Science and Mathematics";journal;"17525063, 17525055";0,175;Q4;21;59;165;1325;129;165;0,81;22,46;40,38;0;7;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2010, 2012-2023";"Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1724;21101021717;"Journal of Image and Graphics";journal;"10068961";0,175;Q4;15;220;450;11034;545;450;1,21;50,15;35,52;0;51;China;Asiatic Region;"Editorial and Publishing Board of JIG";"2020-2023";"Artificial Intelligence (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4)";"Computer Science"
1725;21100892782;"Journal of Payments Strategy and Systems";journal;"17501806, 17501814";0,174;Q4;7;38;112;820;46;99;0,41;21,58;19,64;0;17;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Accounting (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1726;19700177033;"Artnodes";journal;"16955951";0,173;Q4;8;34;90;912;39;88;0,46;26,82;37,25;0;5;Spain;Western Europe;"Fundacio per la Universitat Oberta de Catalunya";"2009-2023";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); Computer Graphics and Computer-Aided Design (Q4); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1727;25497;"Journal of Automation and Information Sciences";journal;"10642315";0,173;Q4;21;0;151;0;96;151;0,39;0,00;0,00;0;0;United States;Northern America;"Begell House Inc.";"1995-2021";"Control and Systems Engineering (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Engineering"
1728;19400157203;"Journal of WSCG";journal;"12136964, 12136972";0,173;Q4;12;51;92;1262;43;92;0,55;24,75;15,44;0;6;Czech Republic;Eastern Europe;"Vaclav Skala Union Agency";"2009-2023";"Computational Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Software (Q4)";"Computer Science; Mathematics"
